Date,Open,High,Low,Close,Adj Close,Volume
"Mar 4, 2025",0.855373,0.857608,0.771618,0.798253,0.798253,"4,912,166,400"
"Mar 3, 2025",1.129526,1.134213,0.838194,0.855264,0.855264,"7,028,104,831"
"Mar 2, 2025",0.659284,1.134268,0.646119,1.129503,1.129503,"7,647,921,820"
"Mar 1, 2025",0.633052,0.674651,0.626733,0.659265,0.659265,"585,631,597"
"Feb 28, 2025",0.645581,0.645610,0.582188,0.633051,0.633051,"1,102,255,137"
"Feb 27, 2025",0.645053,0.678109,0.628422,0.645585,0.645585,"683,537,664"
"Feb 26, 2025",0.682586,0.693577,0.634982,0.645038,0.645038,"869,010,894"
"Feb 25, 2025",0.682212,0.693038,0.633811,0.682582,0.682582,"1,317,817,123"
"Feb 24, 2025",0.770040,0.775589,0.680667,0.682202,0.682202,"960,897,545"
"Feb 23, 2025",0.774451,0.786997,0.761466,0.770041,0.770041,"495,111,534"
"Feb 22, 2025",0.761371,0.782660,0.758591,0.774452,0.774452,"530,696,926"
"Feb 21, 2025",0.804464,0.816940,0.752118,0.761371,0.761371,"951,661,847"
"Feb 20, 2025",0.772940,0.810430,0.771717,0.804474,0.804474,"688,006,862"
"Feb 19, 2025",0.752365,0.774720,0.737249,0.772943,0.772943,"706,077,594"
"Feb 18, 2025",0.808107,0.812538,0.738185,0.752363,0.752363,"905,917,139"
"Feb 17, 2025",0.772001,0.826917,0.771863,0.808025,0.808025,"1,041,802,036"
"Feb 16, 2025",0.781111,0.786802,0.764741,0.772005,0.772005,"448,477,194"
"Feb 15, 2025",0.800514,0.812939,0.777200,0.781110,0.781110,"493,874,835"
"Feb 14, 2025",0.810710,0.827079,0.793140,0.800507,0.800507,"787,635,175"
"Feb 13, 2025",0.799236,0.826902,0.772017,0.810742,0.810742,"840,300,501"
"Feb 12, 2025",0.779395,0.805074,0.752803,0.799224,0.799224,"1,231,175,669"
"Feb 11, 2025",0.710742,0.815919,0.710742,0.779399,0.779399,"1,813,731,044"
"Feb 10, 2025",0.682773,0.716281,0.665603,0.710693,0.710693,"751,114,200"
"Feb 9, 2025",0.701776,0.712637,0.654056,0.682701,0.682701,"679,645,670"
"Feb 8, 2025",0.707095,0.714857,0.684751,0.701849,0.701849,"553,879,408"
"Feb 7, 2025",0.705054,0.750020,0.692477,0.707093,0.707093,"940,384,129"
"Feb 6, 2025",0.733127,0.764653,0.702133,0.705062,0.705062,"844,784,492"
"Feb 5, 2025",0.746331,0.774088,0.728946,0.733209,0.733209,"840,128,547"
"Feb 4, 2025",0.811562,0.818431,0.719025,0.746343,0.746343,"1,601,678,503"
"Feb 3, 2025",0.801753,0.822995,0.564837,0.811559,0.811559,"4,694,160,143"
"Feb 2, 2025",0.897935,0.909727,0.771075,0.801740,0.801740,"1,554,294,076"
"Feb 1, 2025",0.942229,0.956054,0.890940,0.897944,0.897944,"576,044,613"
"Jan 31, 2025",0.961007,0.981897,0.936859,0.942229,0.942229,"700,669,655"
"Jan 30, 2025",0.941143,0.986249,0.938698,0.961014,0.961014,"626,612,172"
"Jan 29, 2025",0.916109,0.958360,0.905220,0.941127,0.941127,"819,481,985"
"Jan 28, 2025",0.932952,0.967073,0.905055,0.916115,0.916115,"768,281,216"
"Jan 27, 2025",0.954821,0.956808,0.868766,0.932943,0.932943,"1,388,103,697"
"Jan 26, 2025",0.977272,0.999212,0.954856,0.954856,0.954856,"558,478,883"
"Jan 25, 2025",0.971500,0.990207,0.966185,0.977272,0.977272,"518,321,010"
"Jan 24, 2025",0.987461,1.007109,0.966197,0.971494,0.971494,"899,623,660"
"Jan 23, 2025",0.981644,1.006638,0.953747,0.987494,0.987494,"1,176,052,467"
"Jan 22, 2025",1.004654,1.015994,0.979430,0.981644,0.981644,"973,043,309"
"Jan 21, 2025",1.008662,1.026929,0.955096,1.004654,1.004654,"1,689,540,931"
"Jan 20, 2025",0.991169,1.096701,0.968852,1.008644,1.008644,"2,754,988,266"
"Jan 19, 2025",1.102048,1.147461,0.978114,0.991191,0.991191,"2,978,644,563"
"Jan 18, 2025",1.135109,1.143611,1.052632,1.102072,1.102072,"1,614,350,854"
"Jan 17, 2025",1.090093,1.163675,1.088220,1.135122,1.135122,"1,819,221,213"
"Jan 16, 2025",1.079094,1.139606,1.030180,1.090099,1.090099,"2,245,926,187"
"Jan 15, 2025",0.994911,1.083765,0.990984,1.079154,1.079154,"2,210,962,210"
"Jan 14, 2025",0.944736,1.006901,0.940124,0.994909,0.994909,"1,119,015,701"
"Jan 13, 2025",0.968534,0.991053,0.889339,0.944742,0.944742,"1,532,120,555"
"Jan 12, 2025",0.994487,1.034566,0.963673,0.968555,0.968555,"1,120,377,628"
"Jan 11, 2025",0.931451,1.012941,0.916453,0.994524,0.994524,"888,877,434"
"Jan 10, 2025",0.905990,0.971773,0.905648,0.931453,0.931453,"1,252,358,898"
"Jan 9, 2025",0.948023,0.958277,0.883761,0.905990,0.905990,"1,351,715,573"
"Jan 8, 2025",0.992018,1.021282,0.913590,0.948031,0.948031,"1,978,552,965"
"Jan 7, 2025",1.094123,1.150163,0.991962,0.992010,0.992010,"2,238,100,221"
"Jan 6, 2025",1.093464,1.112587,1.068098,1.094124,1.094124,"1,303,664,168"
"Jan 5, 2025",1.071397,1.107868,1.055279,1.093467,1.093467,"1,241,263,862"
"Jan 4, 2025",1.090352,1.107919,1.058850,1.071400,1.071400,"1,175,730,814"
"Jan 3, 2025",0.961347,1.116099,0.960044,1.090376,1.090376,"2,503,146,669"
"Jan 2, 2025",0.917654,0.979082,0.917597,0.961345,0.961345,"1,199,916,914"
"Jan 1, 2025",0.843766,0.929422,0.838926,0.917592,0.917592,"926,095,054"
"Dec 31, 2024",0.860024,0.872263,0.841744,0.843765,0.843765,"677,089,128"
"Dec 30, 2024",0.858641,0.896195,0.830983,0.860017,0.860017,"970,303,435"
"Dec 29, 2024",0.887817,0.907943,0.852290,0.858640,0.858640,"645,859,774"
"Dec 28, 2024",0.874775,0.895069,0.867825,0.887817,0.887817,"538,128,475"
"Dec 27, 2024",0.859780,0.911337,0.857433,0.874768,0.874768,"885,820,827"
"Dec 26, 2024",0.916854,0.924634,0.853079,0.859785,0.859785,"789,160,826"
"Dec 25, 2024",0.936465,0.936551,0.904098,0.916859,0.916859,"646,314,883"
"Dec 24, 2024",0.924243,0.947713,0.892834,0.936460,0.936460,"992,442,081"
"Dec 23, 2024",0.882984,0.939546,0.865227,0.924246,0.924246,"1,295,330,633"
"Dec 22, 2024",0.904687,0.921685,0.863091,0.882976,0.882976,"1,112,000,307"
"Dec 21, 2024",0.951011,0.995910,0.889876,0.904694,0.904694,"1,542,881,115"
"Dec 20, 2024",0.885489,0.956713,0.765889,0.951011,0.951011,"2,803,176,930"
"Dec 19, 2024",0.968439,0.987184,0.853876,0.885502,0.885502,"2,338,441,189"
"Dec 18, 2024",1.051527,1.057945,0.968378,0.968420,0.968420,"1,979,056,656"
"Dec 17, 2024",1.078846,1.109043,1.045289,1.051525,1.051525,"1,578,564,654"
"Dec 16, 2024",1.101666,1.115706,1.052016,1.078856,1.078856,"1,536,006,595"
"Dec 15, 2024",1.060511,1.107088,1.042632,1.101708,1.101708,"1,008,997,536"
"Dec 14, 2024",1.119602,1.131130,1.045928,1.060512,1.060512,"4,239,229,343"
"Dec 13, 2024",1.125006,1.127485,1.081352,1.119602,1.119602,"1,325,815,818"
"Dec 12, 2024",1.088849,1.176750,1.077265,1.125016,1.125016,"2,209,430,802"
"Dec 11, 2024",1.020292,1.109284,0.976946,1.088890,1.088890,"2,130,336,502"
"Dec 10, 2024",1.007547,1.036173,0.914969,1.020161,1.020161,"3,443,248,478"
"Dec 9, 2024",1.196296,1.196415,0.952205,1.007549,1.007549,"3,280,181,154"
"Dec 8, 2024",1.214481,1.222152,1.176678,1.196291,1.196291,"1,699,042,879"
"Dec 7, 2024",1.231081,1.234575,1.193021,1.214196,1.214196,"1,376,386,201"
"Dec 6, 2024",1.163156,1.234642,1.143022,1.231107,1.231107,"2,258,465,650"
"Dec 5, 2024",1.187235,1.238354,1.126287,1.184712,1.184712,"3,207,578,224"
"Dec 4, 2024",1.198083,1.240175,1.149205,1.187320,1.187320,"2,838,477,436"
"Dec 3, 2024",1.201791,1.318681,1.169829,1.198126,1.198126,"5,770,098,588"
"Dec 2, 2024",1.155286,1.230685,1.061597,1.201776,1.201776,"5,544,891,690"
"Dec 1, 2024",1.078936,1.158493,1.040986,1.155252,1.155252,"2,300,394,616"
"Nov 30, 2024",1.076887,1.147085,1.053841,1.078942,1.078942,"2,395,901,131"
"Nov 29, 2024",1.033508,1.097796,1.030457,1.076858,1.076858,"2,218,813,144"
"Nov 28, 2024",1.013348,1.045769,0.977038,1.033508,1.033508,"1,563,014,326"
"Nov 27, 2024",0.961184,1.036714,0.935438,1.013346,1.013346,"2,606,240,084"
"Nov 26, 2024",0.945684,0.988377,0.879721,0.961232,0.961232,"2,875,634,851"
"Nov 25, 2024",1.023112,1.069920,0.933550,0.945689,0.945689,"3,241,380,612"
"Nov 24, 2024",1.066200,1.094540,0.948341,1.023106,1.023106,"3,863,056,160"
"Nov 23, 2024",1.010422,1.141682,1.010417,1.066237,1.066237,"6,544,939,547"
"Nov 22, 2024",0.820486,1.038425,0.815233,1.010423,1.010423,"6,204,396,570"
"Nov 21, 2024",0.800342,0.820547,0.770386,0.820474,0.820474,"2,536,610,264"
"Nov 20, 2024",0.739637,0.846629,0.739472,0.800345,0.800345,"3,799,019,828"
"Nov 19, 2024",0.734580,0.763529,0.723858,0.739642,0.739642,"1,551,275,089"
"Nov 18, 2024",0.702301,0.779658,0.702262,0.734580,0.734580,"2,244,334,039"
"Nov 17, 2024",0.738731,0.767812,0.697027,0.702325,0.702325,"2,319,881,888"
"Nov 16, 2024",0.703398,0.811656,0.703316,0.738734,0.738734,"5,486,835,963"
"Nov 15, 2024",0.580137,0.689216,0.578542,0.674060,0.674060,"3,850,451,584"
"Nov 14, 2024",0.578775,0.598058,0.545862,0.580116,0.580116,"1,494,813,121"
"Nov 13, 2024",0.573943,0.605301,0.521302,0.578775,0.578775,"2,297,021,923"
"Nov 12, 2024",0.613808,0.649633,0.558212,0.573918,0.573918,"2,901,745,029"
"Nov 11, 2024",0.590305,0.622249,0.567807,0.613808,0.613808,"2,987,552,596"
"Nov 10, 2024",0.493678,0.652301,0.489937,0.590309,0.590309,"5,261,440,714"
"Nov 9, 2024",0.443817,0.493895,0.428969,0.493680,0.493680,"721,697,726"
"Nov 8, 2024",0.405013,0.457889,0.404759,0.443815,0.443815,"1,438,657,272"
"Nov 7, 2024",0.363323,0.405013,0.362033,0.405013,0.405013,"621,558,993"
"Nov 6, 2024",0.333926,0.365032,0.333921,0.363323,0.363323,"628,391,576"
"Nov 5, 2024",0.326027,0.337894,0.326013,0.333924,0.333924,"241,884,463"
