Title,Desc,Estimate,Car_det,List_info,Car_text_dec,Images,Date/Time,Location
1977 Ferrari 512 BB 'Wide Body',"Unique commission by its only owner and under 6,000 miles from new!","£150,000 - £170,000","['Registration No: DGF 719S', 'Chassis No: 21331', 'MOT: Exempt']","['Uprated with wider wheels / tyres (9J front / 11J rear), various engine modifications and reshaped bodywork by supplying dealer Maranello Concessionaires to the special order of its first and only owner', 'Thought to be unique among the 101 UK-supplied, RHD examples', 'Reworked front and rear aluminium clamshells plus reprofiled B-to-C-post sections and enlarged NACA cooling ducts etc', 'Reputedly inspired by the factory sanctioned 512 BB Competizione cars which were campaigned by Charles Pozzi and NART at the 1978 Le Mans 24-hours', 'Less than 6,000 miles from new', 'Maintained by Vince Mezzulo throughout its life both during and after his time at Maranello Concessionaires', 'Finished in Rosso Chiaro with Black hide and carpets']","['Enzo Ferrari’s reservations about putting a high-powered, mid-engined road car in the hands of his customers were well documented. The success of the Lamborghini Miura, Maserati Bora and De Tomaso Pantera etc, however, meant that by the early 1970s the buying public fully expected any ‘true’ supercar to have its engine positioned just behind the driver. Debuting at the 1973 Paris Salon, the Ferrari 365 GT4 BB was nominally faster than its front-engined ‘Daytona’ predecessor but also decidedly trickier to pilot on the limit. Based around a tubular steel chassis with monocoque centre section, the newcomer featured all-round independent double wishbone suspension, front / rear anti-roll bars, rack and pinion steering and four-wheel disc brakes. Utilising the same ‘Flat 12’ architecture as the engines which powered Maranello’s victorious 312B and 312T Formula 1 cars, its 4.4-litre DOHC unit sat atop a five-speed transaxle with limited slip differential.', '', 'Unveiled at the 1976 Paris Salon, the second Berlinetta Boxer – the 512 – shared the same striking silhouette as its forebear (penned by Leonardo Fioravanti of Pininfarina) albeit with a wider rear track to accommodate 9J alloy wheels (up from 7.5J). Other stability inducing measures included a front chin spoiler to counter high-speed lift, recalibrated suspension and broader powerband. Enlarged to almost 5 litres, the 12-cylinder powerplant (hence the model’s nomenclature) also gained a hydraulic clutch, dry-sump lubrication and useful torque boost. With some 340bhp / 331lbft on tap, the two-seater was reputedly capable of 0-60mph in 5.5 seconds and 188mph. Aside from the reprofiled front, visual tweaks were limited to NACA cooling ducts ahead of both rear wheels and a switch from six to four taillights. The provision of a taller final drive ratio and standard fit air-conditioning meant that the 512 BB was more refined as well as being better handling and less peaky than the 365 GT4 BB. Hand-built, the younger machine achieved 929 sales between 1976 and 1981 of which only 101 were to UK, right-hand drive specification.', '', 'According to information kindly supplied by Tony Willis of The Maranello Concessionaires Archive, this particular example – chassis 21331 – was commissioned from the factory on January 12th 1977 (under MCL Order Number 869). Finished in Rosso Chiaro with Nero leather upholstery and Red carpets, it was delivered to Maranello Concessionaires’ Egham premises a little over three months later. Heir to a successful family business, the first custodian – Alan Morello Esq. – took delivery on August 1st 1977. A serial Ferrari owner, he and his wife have retained possession of the 512 BB ever since. A Maranello Concessionaires employee at the time, Vince Mezzullo Esq. carried out the two-seater’s pre-delivery inspection before dropping it off at thirty-three year old Mr Morello’s Surrey estate. Stabled alongside eight other cars including a Panther J72 and Cadillac Fleetwood, chassis 21331 has been maintained by Mr Mezzullo (who bonded with Mr Morello over their shared Sicilian ancestry) all its life.', '', 'Perhaps inspired by the be-winged, factory sanctioned Ferrari 512 BB Competizione cars with which Charles Pozzi and NART contested the 1978 Le Mans 24 hours, Mr Morello returned the two-seater to Maranello Concessionaires for a host of bespoke cosmetic and mechanical enhancements. Entrusted to inhouse bodywork craftsman Barry Merriman, its front and rear aluminium clamshells were reworked with blistered arches to house 9J front and 11J rear alloys (in place of the 7.5J and 9J originals). The area between the B- and C-posts on each side was reshaped too and adorned with deeper NACA ducts. The sidelights were repositioned within the front grille and treble vents added to both rear wings (presaging a similar motif on the later 288 GTO). The engine lid was de-badged and modified with a Competizione-style wing and transparent covers through which the quad Webers’ newly fitted trumpets could be admired. Re-jetted to compensate for the loss of their air filters / boxes, the carburettors were complemented by a special, twin-pipe sports exhaust.', '', 'Having paid so much attention to the way that the engine inhaled and exhaled it is perhaps no wonder that Mr Morello never fitted a stereo to chassis 21331 (instead relying on the music played by the 12-cylinder mill behind his left ear). He had Britax multi-point harnesses installed too and the rev counter rotated within its housing so that the red line was uppermost in the driver’s view. While other Prancing Horses came and went (not to mention numerous other high performance machines), the 512 BB remained. A firm favourite of Mr Morello’s and now being offered for sale by his wife, it has yet to cover 6,000 miles! As well as more routine servicing, Mr Mezzullo overhauled the cylinder heads (replacing the sodium filled valves in the process) and renewed the odometer. Initially granted the Surrey number plate ‘TPB 639S’ and subsequently sporting ‘PAM 303’ and ‘AM 51’, the Ferrari’s current V5C Document is for ‘DGF 719S’. Little used in recent years and overdue a cambelt service, the supercar has not been started whilst in our care. Company registered at different times but owned by the Morello family from new, this unique and ultra-low mileage 512 BB is worthy of close inspection. Pleasingly, the chassis, engine and transaxle numbers quoted by Tony Willis all match those visible on the two-seater itself. Offered for sale with ‘suitcase’ tool case and history file.']","https://handh.blob.core.windows.net/stock/20061543-134-small.jpg?v=63875555356623, https://handh.blob.core.windows.net/stock/20061543-125-small.jpg?v=63874462358873, https://handh.blob.core.windows.net/stock/20061543-36-small.jpg?v=63874461874970, https://handh.blob.core.windows.net/stock/20061543-38-small.jpg?v=63874461876700, https://handh.blob.core.windows.net/stock/20061543-44-small.jpg?v=63874461881830, https://handh.blob.core.windows.net/stock/20061543-45-small.jpg?v=63874461882537, https://handh.blob.core.windows.net/stock/20061543-35-small.jpg?v=63874461873830, https://handh.blob.core.windows.net/stock/20061543-37-small.jpg?v=63874461875890, https://handh.blob.core.windows.net/stock/20061543-39-small.jpg?v=63874461877670, https://handh.blob.core.windows.net/stock/20061543-40-small.jpg?v=63874461878407, https://handh.blob.core.windows.net/stock/20061543-41-small.jpg?v=63874461879223, https://handh.blob.core.windows.net/stock/20061543-42-small.jpg?v=63874461880090, https://handh.blob.core.windows.net/stock/20061543-43-small.jpg?v=63874461880993, https://handh.blob.core.windows.net/stock/20061543-46-small.jpg?v=63874461883363, https://handh.blob.core.windows.net/stock/20061543-47-small.jpg?v=63874461884050, https://handh.blob.core.windows.net/stock/20061543-48-small.jpg?v=63874461884920, https://handh.blob.core.windows.net/stock/20061543-49-small.jpg?v=63874461885677, https://handh.blob.core.windows.net/stock/20061543-50-small.jpg?v=63874461886420, https://handh.blob.core.windows.net/stock/20061543-51-small.jpg?v=63874461887127, https://handh.blob.core.windows.net/stock/20061543-52-small.jpg?v=63874461887830, https://handh.blob.core.windows.net/stock/20061543-53-small.jpg?v=63874461888550, https://handh.blob.core.windows.net/stock/20061543-54-small.jpg?v=63874461889267, https://handh.blob.core.windows.net/stock/20061543-55-small.jpg?v=63874461889910, https://handh.blob.core.windows.net/stock/20061543-56-small.jpg?v=63874461890617, https://handh.blob.core.windows.net/stock/20061543-57-small.jpg?v=63874461891470, https://handh.blob.core.windows.net/stock/20061543-58-small.jpg?v=63874461892130, https://handh.blob.core.windows.net/stock/20061543-59-small.jpg?v=63874461892820, https://handh.blob.core.windows.net/stock/20061543-60-small.jpg?v=63874461893483, https://handh.blob.core.windows.net/stock/20061543-61-small.jpg?v=63874461894247, https://handh.blob.core.windows.net/stock/20061543-62-small.jpg?v=63874461895050, https://handh.blob.core.windows.net/stock/20061543-63-small.jpg?v=63874461895850, https://handh.blob.core.windows.net/stock/20061543-23-small.jpg?v=63871772177377, https://handh.blob.core.windows.net/stock/20061543-64-small.jpg?v=63874461896647, https://handh.blob.core.windows.net/stock/20061543-65-small.jpg?v=63874461897273, https://handh.blob.core.windows.net/stock/20061543-66-small.jpg?v=63874461897907, https://handh.blob.core.windows.net/stock/20061543-67-small.jpg?v=63874461898660, https://handh.blob.core.windows.net/stock/20061543-68-small.jpg?v=63874461899410, https://handh.blob.core.windows.net/stock/20061543-70-small.jpg?v=63874461900803, https://handh.blob.core.windows.net/stock/20061543-71-small.jpg?v=63874461901463, https://handh.blob.core.windows.net/stock/20061543-72-small.jpg?v=63874461902063, https://handh.blob.core.windows.net/stock/20061543-73-small.jpg?v=63874461902667, https://handh.blob.core.windows.net/stock/20061543-74-small.jpg?v=63874461903570, https://handh.blob.core.windows.net/stock/20061543-75-small.jpg?v=63874461904250, https://handh.blob.core.windows.net/stock/20061543-76-small.jpg?v=63874461905113, https://handh.blob.core.windows.net/stock/20061543-77-small.jpg?v=63874461905863, https://handh.blob.core.windows.net/stock/20061543-78-small.jpg?v=63874461906553, https://handh.blob.core.windows.net/stock/20061543-79-small.jpg?v=63874461907270, https://handh.blob.core.windows.net/stock/20061543-80-small.jpg?v=63874461907980, https://handh.blob.core.windows.net/stock/20061543-81-small.jpg?v=63874461908753, https://handh.blob.core.windows.net/stock/20061543-82-small.jpg?v=63874461909537, https://handh.blob.core.windows.net/stock/20061543-83-small.jpg?v=63874461910337, https://handh.blob.core.windows.net/stock/20061543-84-small.jpg?v=63874461911550, https://handh.blob.core.windows.net/stock/20061543-85-small.jpg?v=63874462327277, https://handh.blob.core.windows.net/stock/20061543-86-small.jpg?v=63874462328213, https://handh.blob.core.windows.net/stock/20061543-87-small.jpg?v=63874462329320, https://handh.blob.core.windows.net/stock/20061543-88-small.jpg?v=63874462329960, https://handh.blob.core.windows.net/stock/20061543-89-small.jpg?v=63874462330803, https://handh.blob.core.windows.net/stock/20061543-90-small.jpg?v=63874462331447, https://handh.blob.core.windows.net/stock/20061543-91-small.jpg?v=63874462332080, https://handh.blob.core.windows.net/stock/20061543-92-small.jpg?v=63874462332923, https://handh.blob.core.windows.net/stock/20061543-93-small.jpg?v=63874462333550, https://handh.blob.core.windows.net/stock/20061543-94-small.jpg?v=63874462334513, https://handh.blob.core.windows.net/stock/20061543-95-small.jpg?v=63874462335413, https://handh.blob.core.windows.net/stock/20061543-96-small.jpg?v=63874462336180, https://handh.blob.core.windows.net/stock/20061543-97-small.jpg?v=63874462336887, https://handh.blob.core.windows.net/stock/20061543-98-small.jpg?v=63874462337753, https://handh.blob.core.windows.net/stock/20061543-99-small.jpg?v=63874462338423, https://handh.blob.core.windows.net/stock/20061543-100-small.jpg?v=63874462339297, https://handh.blob.core.windows.net/stock/20061543-101-small.jpg?v=63874462339930, https://handh.blob.core.windows.net/stock/20061543-102-small.jpg?v=63874462340610, https://handh.blob.core.windows.net/stock/20061543-103-small.jpg?v=63874462341353, https://handh.blob.core.windows.net/stock/20061543-104-small.jpg?v=63874462342083, https://handh.blob.core.windows.net/stock/20061543-105-small.jpg?v=63874462342730, https://handh.blob.core.windows.net/stock/20061543-106-small.jpg?v=63874462343370, https://handh.blob.core.windows.net/stock/20061543-107-small.jpg?v=63874462344340, https://handh.blob.core.windows.net/stock/20061543-108-small.jpg?v=63874462345043, https://handh.blob.core.windows.net/stock/20061543-109-small.jpg?v=63874462345840, https://handh.blob.core.windows.net/stock/20061543-110-small.jpg?v=63874462346473, https://handh.blob.core.windows.net/stock/20061543-111-small.jpg?v=63874462347167, https://handh.blob.core.windows.net/stock/20061543-112-small.jpg?v=63874462347937, https://handh.blob.core.windows.net/stock/20061543-113-small.jpg?v=63874462348673, https://handh.blob.core.windows.net/stock/20061543-114-small.jpg?v=63874462349480, https://handh.blob.core.windows.net/stock/20061543-115-small.jpg?v=63874462350163, https://handh.blob.core.windows.net/stock/20061543-116-small.jpg?v=63874462350990, https://handh.blob.core.windows.net/stock/20061543-117-small.jpg?v=63874462351663, https://handh.blob.core.windows.net/stock/20061543-118-small.jpg?v=63874462352467, https://handh.blob.core.windows.net/stock/20061543-119-small.jpg?v=63874462353380, https://handh.blob.core.windows.net/stock/20061543-120-small.jpg?v=63874462354357, https://handh.blob.core.windows.net/stock/20061543-33-small.jpg?v=63871948705577, https://handh.blob.core.windows.net/stock/20061543-121-small.jpg?v=63874462355447, https://handh.blob.core.windows.net/stock/20061543-122-small.jpg?v=63874462356247, https://handh.blob.core.windows.net/stock/20061543-123-small.jpg?v=63874462357223, https://handh.blob.core.windows.net/stock/20061543-124-small.jpg?v=63874462357990, https://handh.blob.core.windows.net/stock/20061543-69-small.jpg?v=63874461900027, https://handh.blob.core.windows.net/stock/20061543-126-small.jpg?v=63874462359490, https://handh.blob.core.windows.net/stock/20061543-127-small.jpg?v=63874462360427, https://handh.blob.core.windows.net/stock/20061543-32-small.jpg?v=63871948705060, https://handh.blob.core.windows.net/stock/20061543-128-small.jpg?v=63874462361557, https://handh.blob.core.windows.net/stock/20061543-129-small.jpg?v=63874462362543, https://handh.blob.core.windows.net/stock/20061543-130-small.jpg?v=63874780011780, https://handh.blob.core.windows.net/stock/20061543-131-small.jpg?v=63874780012643, https://handh.blob.core.windows.net/stock/20061543-132-small.jpg?v=63874780013567, https://handh.blob.core.windows.net/stock/20061543-133-small.jpg?v=63874780014610","9th Apr, 2025 9:00","Imperial War Museum | Duxford, Cambridgeshire"
1993 Jaguar XJ13 Re-creation by Proteus,,"£140,000 - £160,000","['Registration No: PBT 55', 'Chassis No: 726352DN', 'MOT: January 2026']","['Jaguar V12 engine, six Weber carburettors, Rob Beere cylinder heads all mated to a 5-speed ZF gearbox', 'Known ownership history including our very own Mr John Markey', 'Driven around Goodwood and used on a number of tours in France', 'Fitted with aluminium and glassfibre bodywork', ""Professionally built evocation of Jaguar's legendary one-off sports prototype""]","[""Created between 1965 and 1966, the original XJ13 sports prototype was designed to enable a return to Le Mans by the factory where both the works team and private entries had enjoyed five victories during the 1950s. Sadly, development of the design took longer than expected and by the time it was ready in March 1967, the opposition had moved on. Extensively tested at the MIRA proving ground, the XJ13 achieved a speed of 161.6mph – then the highest lap speed ever recorded at an enclosed British circuit. Subsequently put into storage at the factory, the car re-emerged in 1971 to take part in filming, again at MIRA, to help publicise the launch of the new V12-engined Series III E-Type. Driven by Jaguar's legendary test driver Norman Dewis, rear wheel issues caused the car to crash heavily, thankfully without serious injury to its driver who was saved by the strength of the monocoque chassis. Subsequently rebuilt by Abbey Panels, the car would remain with Jaguar following completion in 1973, leaving unanswered questions of what might have been if the ill-fated programme had come to fruition sooner.""]","https://handh.blob.core.windows.net/stock/20061612-53-small.jpg?v=63874272948700, https://handh.blob.core.windows.net/stock/20061612-13-small.jpg?v=63873228226543, https://handh.blob.core.windows.net/stock/20061612-6-small.jpg?v=63873228192663, https://handh.blob.core.windows.net/stock/20061612-12-small.jpg?v=63873228224913, https://handh.blob.core.windows.net/stock/20061612-9-small.jpg?v=63873228204330, https://handh.blob.core.windows.net/stock/20061612-11-small.jpg?v=63873228216103, https://handh.blob.core.windows.net/stock/20061612-14-small.jpg?v=63873228228247, https://handh.blob.core.windows.net/stock/20061612-4-small.jpg?v=63873228184383, https://handh.blob.core.windows.net/stock/20061612-2-small.jpg?v=63873228161787, https://handh.blob.core.windows.net/stock/20061612-3-small.jpg?v=63873228182607, https://handh.blob.core.windows.net/stock/20061612-15-small.jpg?v=63873228285797, https://handh.blob.core.windows.net/stock/20061612-10-small.jpg?v=63873228205743, https://handh.blob.core.windows.net/stock/20061612-0-small.jpg?v=63873228075720, https://handh.blob.core.windows.net/stock/20061612-1-small.jpg?v=63873228117540, https://handh.blob.core.windows.net/stock/20061612-8-small.jpg?v=63873228195877, https://handh.blob.core.windows.net/stock/20061612-5-small.jpg?v=63873228186640, https://handh.blob.core.windows.net/stock/20061612-7-small.jpg?v=63873228194187, https://handh.blob.core.windows.net/stock/20061612-27-small.jpg?v=63873228529397, https://handh.blob.core.windows.net/stock/20061612-20-small.jpg?v=63873228518513, https://handh.blob.core.windows.net/stock/20061612-18-small.jpg?v=63873228515510, https://handh.blob.core.windows.net/stock/20061612-16-small.jpg?v=63873228512460, https://handh.blob.core.windows.net/stock/20061612-21-small.jpg?v=63873228520033, https://handh.blob.core.windows.net/stock/20061612-17-small.jpg?v=63873228513993, https://handh.blob.core.windows.net/stock/20061612-32-small.jpg?v=63873228536983, https://handh.blob.core.windows.net/stock/20061612-19-small.jpg?v=63873228517073, https://handh.blob.core.windows.net/stock/20061612-31-small.jpg?v=63873228535500, https://handh.blob.core.windows.net/stock/20061612-23-small.jpg?v=63873228523163, https://handh.blob.core.windows.net/stock/20061612-24-small.jpg?v=63873228524643, https://handh.blob.core.windows.net/stock/20061612-29-small.jpg?v=63873228532450, https://handh.blob.core.windows.net/stock/20061612-26-small.jpg?v=63873228527777, https://handh.blob.core.windows.net/stock/20061612-22-small.jpg?v=63873228521630, https://handh.blob.core.windows.net/stock/20061612-25-small.jpg?v=63873228526283, https://handh.blob.core.windows.net/stock/20061612-28-small.jpg?v=63873228530910, https://handh.blob.core.windows.net/stock/20061612-30-small.jpg?v=63873228533943, https://handh.blob.core.windows.net/stock/20061612-33-small.jpg?v=63873228538750, https://handh.blob.core.windows.net/stock/20061612-36-small.jpg?v=63873232063627, https://handh.blob.core.windows.net/stock/20061612-34-small.jpg?v=63873232060633, https://handh.blob.core.windows.net/stock/20061612-35-small.jpg?v=63873232062110, https://handh.blob.core.windows.net/stock/20061612-37-small.jpg?v=63873232064927, https://handh.blob.core.windows.net/stock/20061612-38-small.jpg?v=63873232066250, https://handh.blob.core.windows.net/stock/20061612-39-small.jpg?v=63873232067600, https://handh.blob.core.windows.net/stock/20061612-40-small.jpg?v=63873232068987, https://handh.blob.core.windows.net/stock/20061612-41-small.jpg?v=63873232070560, https://handh.blob.core.windows.net/stock/20061612-42-small.jpg?v=63873238425383, https://handh.blob.core.windows.net/stock/20061612-43-small.jpg?v=63873238426793, https://handh.blob.core.windows.net/stock/20061612-46-small.jpg?v=63873238434927, https://handh.blob.core.windows.net/stock/20061612-47-small.jpg?v=63873238461450, https://handh.blob.core.windows.net/stock/20061612-44-small.jpg?v=63873238428490, https://handh.blob.core.windows.net/stock/20061612-49-small.jpg?v=63873238520830, https://handh.blob.core.windows.net/stock/20061612-45-small.jpg?v=63873238430357, https://handh.blob.core.windows.net/stock/20061612-48-small.jpg?v=63873238463590, https://handh.blob.core.windows.net/stock/20061612-50-small.jpg?v=63873238699433, https://handh.blob.core.windows.net/stock/20061612-51-small.jpg?v=63873238709910, https://handh.blob.core.windows.net/stock/20061612-52-small.jpg?v=63873238717593","9th Apr, 2025 9:00","Imperial War Museum | Duxford, Cambridgeshire"
2000 Subaru Impreza P1,"Number 116 of the 1,000 'Prodrive One' Imprezas made","£65,000 - £75,000","['Registration No: P15 KUB', 'Chassis No: JF1GM8KDGYG002623', 'MOT: T.B.A']","['A highly original example that has never been modified and is still in its original form', ""Number 116 of the 1,000 'Prodrive One' Imprezas made a highly cherished example"", 'Just a warranted 23,275 miles from new with over 20 stamps in the service book', 'Offered for sale with original book pack, purchase invoice, MOTs and 2 spare keys and even fuel receipts', 'Stored in a temperature controlled carcoon']",,"https://handh.blob.core.windows.net/stock/20061727-52-small.jpg?v=63875139409443, https://handh.blob.core.windows.net/stock/20061727-27-small.jpg?v=63874986213907, https://handh.blob.core.windows.net/stock/20061727-24-small.jpg?v=63874986209927, https://handh.blob.core.windows.net/stock/20061727-0-small.jpg?v=63874984923133, https://handh.blob.core.windows.net/stock/20061727-5-small.jpg?v=63874985041530, https://handh.blob.core.windows.net/stock/20061727-6-small.jpg?v=63874985043003, https://handh.blob.core.windows.net/stock/20061727-1-small.jpg?v=63874985036403, https://handh.blob.core.windows.net/stock/20061727-12-small.jpg?v=63874985051740, https://handh.blob.core.windows.net/stock/20061727-23-small.jpg?v=63874986208590, https://handh.blob.core.windows.net/stock/20061727-25-small.jpg?v=63874986211577, https://handh.blob.core.windows.net/stock/20061727-15-small.jpg?v=63874985066007, https://handh.blob.core.windows.net/stock/20061727-13-small.jpg?v=63874985063310, https://handh.blob.core.windows.net/stock/20061727-21-small.jpg?v=63874986206023, https://handh.blob.core.windows.net/stock/20061727-14-small.jpg?v=63874985064550, https://handh.blob.core.windows.net/stock/20061727-29-small.jpg?v=63874986216577, https://handh.blob.core.windows.net/stock/20061727-18-small.jpg?v=63874985327253, https://handh.blob.core.windows.net/stock/20061727-50-small.jpg?v=63874988649863, https://handh.blob.core.windows.net/stock/20061727-34-small.jpg?v=63874986223070, https://handh.blob.core.windows.net/stock/20061727-19-small.jpg?v=63874986203473, https://handh.blob.core.windows.net/stock/20061727-22-small.jpg?v=63874986207243, https://handh.blob.core.windows.net/stock/20061727-26-small.jpg?v=63874986212753, https://handh.blob.core.windows.net/stock/20061727-28-small.jpg?v=63874986215147, https://handh.blob.core.windows.net/stock/20061727-30-small.jpg?v=63874986217750, https://handh.blob.core.windows.net/stock/20061727-31-small.jpg?v=63874986218997, https://handh.blob.core.windows.net/stock/20061727-43-small.jpg?v=63874986234563, https://handh.blob.core.windows.net/stock/20061727-32-small.jpg?v=63874986220463, https://handh.blob.core.windows.net/stock/20061727-33-small.jpg?v=63874986221713, https://handh.blob.core.windows.net/stock/20061727-41-small.jpg?v=63874986232077, https://handh.blob.core.windows.net/stock/20061727-48-small.jpg?v=63874986241367, https://handh.blob.core.windows.net/stock/20061727-36-small.jpg?v=63874986225697, https://handh.blob.core.windows.net/stock/20061727-37-small.jpg?v=63874986227257, https://handh.blob.core.windows.net/stock/20061727-35-small.jpg?v=63874986224557, https://handh.blob.core.windows.net/stock/20061727-38-small.jpg?v=63874986228503, https://handh.blob.core.windows.net/stock/20061727-44-small.jpg?v=63874986235873, https://handh.blob.core.windows.net/stock/20061727-39-small.jpg?v=63874986229657, https://handh.blob.core.windows.net/stock/20061727-40-small.jpg?v=63874986230883, https://handh.blob.core.windows.net/stock/20061727-42-small.jpg?v=63874986233253, https://handh.blob.core.windows.net/stock/20061727-45-small.jpg?v=63874986237200, https://handh.blob.core.windows.net/stock/20061727-46-small.jpg?v=63874986238463, https://handh.blob.core.windows.net/stock/20061727-47-small.jpg?v=63874986240110, https://handh.blob.core.windows.net/stock/20061727-49-small.jpg?v=63874986242763, https://handh.blob.core.windows.net/stock/20061727-51-small.jpg?v=63874988863627","9th Apr, 2025 9:00","Imperial War Museum | Duxford, Cambridgeshire"
