,Name,Lot,Estimate_price,Increment,Location,VAT on Buyer's Premium  ,Buyer's Premium  ,VAT On Hammer  ,Viewing Information,Collection Information,Images,Description,Make,Model,Registration,Fuel,Mileage,Transmission,Year / Age
0,2023 Volkswagen Transporter T28 Startline Panel Van (YM23 VEU),1,"£11,100",£100,"Worksop, S81",20%,15%,20%,January 22nd between 10am and 3pm,"['Collection Information', 'All Collections are Strictly via appointment only', 'Taking place From Wednesday 29th January - Friday 31st January 9am - 3pm']","https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/08d0d2de-e79c-4399-a764-90553dfb496d/0001_GwmQEv_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/46a02422-0349-4a32-a10b-ff726e259290/0002_GFgnFF_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/92f1bcea-4db0-4040-9532-ba3f25514262/0003_fDEvyr_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/23ced29b-36fb-4013-ae54-b371cd87118f/0004_idUknS_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/61b883d1-440b-477e-bad6-ddd63d584a75/0005_hRYdxs_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/bffbcdf6-889d-42b3-90fd-01cc2b650440/0006_pwQdcG_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/9ee6e3fa-3f9c-43ce-8312-6fb1c31d56a0/0007_Asrboq_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/adbf9612-70ff-4340-9f02-3bfd18ed9deb/0008_nABOgP_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/d0e16db6-cd68-4ce1-88d5-7608da25741b/0009_YECVXX_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/7fd64521-3f88-42b5-b0f2-c9aee5566db0/0010_WnMvJy_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/33980fcf-4df6-4e72-9ed8-4bdfb9d67fa8/0011_iJfvpg_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/3deeaffb-8a25-417e-adde-d6a4522265ba/0012_WBmHyX_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/55e9d290-db04-4e7b-8726-443508372567/0013_WXbwuR_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/e94010d2-98b7-4592-8e35-c3aac578b5bf/0014_xhbCbS_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/9ac4f6c1-da61-4875-b771-fe602b850978/ad57f39d-4437-4903-87ac-fafd7ed7133c/0015_zJhWdE_thumb.jpeg","2023 Volkswagen Transporter T28 Startline Panel Van (YM23 VEU)

5 Speed Manual Gearbox
Bluetooth
Parking Sensors 
Cruise Control
A/C
HPI Checked
X2 Keys",Volkswagen,Transporter T28 Startline,YM23 VEU,Diesel,24855 miles,Manual,2023
1,2023 Volkswagen Transporter T28 Startline Panel Van (YM23 RYB),2,"£12,100",£100,"Worksop, S81",20%,15%,20%,January 22nd between 10am and 3pm,"['Collection Information', 'All Collections are Strictly via appointment only', 'Taking place From Wednesday 29th January - Friday 31st January 9am - 3pm']","https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/7f60a315-c9fc-4386-b78f-42c2b6e0ba8a/0001_DwCNsu_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/d0faeb87-3b39-4748-98d3-682bff0ef058/0002_ebJdoL_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/d883dd61-693c-4b40-b8ec-d75c99dfbdb8/0003_QDvvVw_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/e1b8bc62-3700-412c-bc0e-a55a4dd51209/0004_ugBjGv_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/24d3e87a-3044-44f0-ba99-61a83c5026a6/0005_ULvjet_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/8b5b2ca6-339c-4df1-a69b-f8281ddc38dd/0006_hfEZqY_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/d6fa9630-8a1e-4e47-a6a4-d4d7c90c4f12/0007_AfieqC_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/d1426e43-86b6-4855-adf0-877ff333b87d/0008_aBIpCq_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/39e41b6f-8518-4e72-b33b-534ebfd067ff/0009_QwyQfs_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/cd851666-7e63-4ffb-9f11-58beaf6e2777/0010_taaJGz_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/d478961f-2ece-49a4-9a36-dcdad1e61a7d/0011_fNPMVD_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/ef83b9f7-d229-440a-9a4a-bb3371424fda/0012_RuBDVv_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/003136ff-b193-48a1-b7f9-c86facd65efd/0013_nBiSVz_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/da68784b-9040-406d-a86a-2a318406946b/0014_WGiKWZ_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/48701c6c-0dff-4aab-8b85-574ee3551c59/57fc8ec5-b59c-4af5-9f58-f4849619c52f/0015_WtHFhE_thumb.jpeg","2023 Volkswagen Transporter T28 Startline Panel Van (YM23 RYB)

5 Speed Manual Gearbox
Bluetooth
Parking Sensors 
Cruise Control
A/C
HPI Checked
X2 Keys",Volkswagen,Transporter T28 Startline,YM23 RYB,Diesel,16451 miles,Manual,2023
2,2023 Volkswagen Transporter T28 Startline Panel Van (YM23 RXZ),3,"£10,000",£100,"Worksop, S81",20%,15%,20%,January 22nd between 10am and 3pm,"['Collection Information', 'All Collections are Strictly via appointment only', 'Taking place From Wednesday 29th January - Friday 31st January 9am - 3pm']","https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/70164549-0c7d-4053-a903-e01795dfaf1c/0001_wrXxke_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/59d8be3f-8dd6-4529-b4a7-b6fbd1405d97/0002_vIHchW_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/13356ac1-60e8-4e47-b877-e316aa0d2002/0003_jweGHJ_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/6ae2da18-9b78-4e88-86e0-02c1f071ab93/0004_fpUwPN_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/ba21ae97-e02b-4e7d-a986-c6738a80f085/0005_LDLvKr_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/d254e371-231c-4cb6-bd66-85e27f22f6cb/0006_WgvWiv_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/a6138d1e-811e-4ec3-a387-c4aa0ef3fc0e/0007_WgqUQC_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/9a47b1ac-e543-4c71-9a84-0ea470886db3/0008_vCJrSP_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/bb86c0a6-1bf6-4954-8c8e-0c3995fc9731/0009_MKyixA_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/38683bdf-58fc-479b-94d0-247832f4d934/0010_YeUpNg_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/6275dda0-f9d1-41fe-9c20-17426ab28777/0011_YqnQzK_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/4c642709-b133-4191-91f2-d160404a0d47/0012_uIuARW_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/2d58f322-e1e4-4f70-a562-8f90c02438e7/0013_RaCgLC_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/57dd8a05-50d9-45d9-bd8b-96547e1976a7/0014_CpXesd_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/cd29c793-01db-4bd0-9770-23edcae170b4/553b9b0d-df5a-4683-8545-65748c78184d/0015_IlTfck_thumb.jpeg","2023 Volkswagen Transporter T28 Startline Panel Van (YM23 RXZ)

5 Speed Manual Gearbox
Bluetooth
Parking Sensors 
Cruise Control
A/C
HPI Checked
X2 Keys",Volkswagen,Transporter T28 Startline,YM23 RXZ,Diesel,32776 miles,Manual,2023
3,2023 Volkswagen Transporter T28 Startline Panel Van (YO23 LJL),4,"£10,000",£100,"Worksop, S81",20%,15%,20%,January 22nd between 10am and 3pm,"['Collection Information', 'All Collections are Strictly via appointment only', 'Taking place From Wednesday 29th January - Friday 31st January 9am - 3pm']","https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/4ea909da-f64f-473a-9256-6c500f428165/0001_giEows_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/a4f69a0a-a703-439d-a252-b89e264d042f/0002_EdoTqK_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/e84366d1-9afe-4b36-b0d5-4e85fb9b28ee/0003_UXnoHG_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/571f892d-de80-419e-9e4d-0359b518cd42/0004_ngcBVR_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/399146ab-efc9-4b92-91cd-3427497942da/0005_prgxgR_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/ad936a01-c637-4814-998c-8e673d624110/0006_KsAQuw_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/dee3ee55-767b-41f2-ab03-40f436ce3910/0007_TDlBfO_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/c1820dec-63fd-4f43-99b6-09a812711b75/0008_PsYvEx_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/83a1ee7c-98a9-4f84-bf5c-7cd63460764b/0009_lSWuNQ_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/707f8a50-9ad1-4394-872f-97df1c847cd6/0010_CzGELl_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/d1992258-0917-4371-bba6-669db1245574/0011_FfuKMG_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/b590bf63-c0ba-45a5-8a2d-e98271735ad5/0012_efrSMl_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/ca8e0813-c566-49c6-bfed-d2307e59781e/0013_aMTpjM_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/d8cdfa79-0d98-4a9d-a30b-5f838a51f709/0014_AQWiyQ_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/2741b705-727d-42de-8457-1aee2029edea/97d9f34f-f39c-42e6-bfa5-62e5ffb5e156/0015_MCCicn_thumb.jpeg","2023 Volkswagen Transporter T28 Startline Panel Van (YO23 LJL)
5 Speed Manual Gearbox
Bluetooth
Parking Sensors 
Cruise Control
A/C
HPI Checked
X2 Keys",Volkswagen,Transporter T28 Startline,YO23 LJL,Diesel,34955 miles,Manual,2023
4,2023 Volkswagen Transporter T28 Startline Panel Van (YO23 MKG),5,"£11,100",£100,"Worksop, S81",20%,15%,20%,January 22nd between 10am and 3pm,"['Collection Information', 'All Collections are Strictly via appointment only', 'Taking place From Wednesday 29th January - Friday 31st January 9am - 3pm']","https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/6d3d40c5-6483-4d58-8d62-a816db3a6919/0001_pCXJVO_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/dab96b14-1ab3-466b-8750-30a4c9cd3422/0002_YoMIsk_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/32df9a7e-8f07-4b6a-93a3-d20d248653bc/0003_njFOxu_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/4b346342-dfa6-4f84-9ee8-e6ac6436c955/0004_Jvjlgr_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/db37bf84-0029-4e05-a052-2d4381769f55/0005_IQDyrk_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/ed15fdfa-adf8-4743-a553-5cf468e69993/0006_aZvFBj_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/d1e7b0a1-bc13-4c1b-bc2c-225f9183bbd7/0007_chPuGB_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/b0296b45-f327-41b8-a1fe-3bacf962f815/0008_DDtbwC_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/41971a22-7c40-4caa-9b7d-e7c8bb87a680/0009_siFfOO_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/9aeaa2ce-cb50-4c73-81d3-b308cee1138f/0010_JjTIJn_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/ed5db440-859a-4f20-882f-469fa47b56c5/0011_STAWja_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/9a2b6680-20a6-4f13-a356-e9746bc22690/0012_VQkhKB_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/393cd31f-e3b9-4f8d-8349-80ad01713e39/0013_iWLBPs_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/2a77dae4-1ee8-45cc-ac8d-ed433baa6b58/0014_AsQopc_thumb.jpeg, https://media.app.artisio.co/media/dbec1453-ea61-4582-a3b3-8e6e1bd43ea7/inventory/1032ed43-41e7-4311-9917-27ee503531fa/bd6fb5e1-fdd1-40f4-803c-31367b3cf420/0015_BvyEFS_thumb.jpeg","2023 Volkswagen Transporter T28 Startline Panel Van (YO23 MKG)

5 Speed Manual Gearbox
Bluetooth
Parking Sensors 
Cruise Control
A/C
HPI Checked
X2 Keys",Volkswagen,Transporter T28 Startline,YO23 MKG,Diesel,27655 miles,Manual,2023
