Lot,Sale_date,Title,Reg,Cond_rep,Mot,Images,Make,Model,Variant,Body,Transmission,Fuel Type,Doors,Engine Size,No. of Former Keepers,Colour,Mileage,MOT,VAT Status,V5 Location,Notes,Vendor
Lot 106,6/2/25 15:30,HONDA HR-V EX I-VTEC - 1498cc,July 2017 - RA17EOB,https://www.shorehamvehicleauctions.com/i_folder/RA17EOB/Web.pdf,https://www.shorehamvehicleauctions.com/i_folder/RA17EOB/mothistory.pdf,"https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/01-2473556-127639-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/01-2473559-127639-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/03-2473558-127639-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/03-2473560-127639-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473542-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473543-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473544-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473545-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473550-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473551-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473552-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/04-2473553-127639-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/05-2473539-127639-Speedo.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/07-2473548-127639-Spare%20Wheel.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/08-2473547-127639-Parcel%20Shelf.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/09-2473541-127639-Image.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/09-2473557-127639-Image.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/10-2473554-127639-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/10-2473555-127639-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/12-2473546-127639-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/12-2473549-127639-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/RA17EOB/13-2473540-127639-Centre%20Console.jpg",HONDA,HR-V,EX I-VTEC - 1498cc,Hatchback,Manual,Petrol,5,1498cc,1,Black,116549 miles,09/09/25,Margin,V5 with auction,"SKEY, 7 STAMPS LAST AT 116K 09/24 ~ Elec Seats, Interior: Full Leather, Air Con, Cruise Control, Metallic Paint, No of Keys: 2, Spare Wheel: Repair Kit, Remote Central Locking, Electric Mirrors, Electric Windows: 4, Reversing Camera, Alloys, Heated Seats, Drv Airbag, Pass Airbag ~",
Lot 108,6/2/25 15:30,VAUXHALL ZAFIRA TOURER SRI CDTI EC - 1598cc,March 2016 - UHZ1728,https://www.shorehamvehicleauctions.com/i_folder/UHZ1728/Web.pdf,https://www.shorehamvehicleauctions.com/i_folder/UHZ1728/mothistory.pdf,"https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/01-2459082-127186-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/02-2459085-127186-Rear%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/03-2459084-127186-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/03-2459087-127186-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459045-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459046-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459047-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459048-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459049-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459051-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/04-2459052-127186-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/05-2459044-127186-Speedo.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/07-2459050-127186-Spare%20Wheel.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/09-2459083-127186-Image.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459053-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459054-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459055-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459056-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459057-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459058-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459059-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459060-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459061-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459062-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459063-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459064-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459065-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459066-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459067-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459068-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459069-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459070-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459071-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459072-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459073-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459074-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459075-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459076-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459077-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459078-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459079-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459080-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/10-2459081-127186-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/12-2459086-127186-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/UHZ1728/13-2459043-127186-Centre%20Console.jpg",VAUXHALL,ZAFIRA,TOURER SRI CDTI EC - 1598cc,MPV,Manual,Diesel,5,1598cc,1,Blue,94831 miles,11/04/25,Margin,V5 with auction,,CHURCH ROAD GARAGE
Lot 109,6/2/25 15:30,KIA SPORTAGE 3 SAT NAV ISG CR - 1685cc,May 2014 - LO14DYW,https://www.shorehamvehicleauctions.com/i_folder/LO14DYW/Web.pdf,https://www.shorehamvehicleauctions.com/i_folder/LO14DYW/mothistory.pdf,"https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/01-2465771-127397-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/01-2465776-127397-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/02-2465773-127397-Rear%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/03-2465772-127397-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/03-2465775-127397-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465744-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465745-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465746-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465747-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465748-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465749-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/04-2465750-127397-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/05-2465741-127397-Speedo.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/06-2465743-127397-Service%20Book.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/07-2465752-127397-Spare%20Wheel.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/08-2465751-127397-Parcel%20Shelf.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465753-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465754-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465755-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465756-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465757-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465758-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465759-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465760-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465761-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465762-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465763-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465764-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465765-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465766-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465767-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465768-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465769-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/10-2465770-127397-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/12-2465774-127397-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LO14DYW/13-2465742-127397-Centre%20Console.jpg",KIA,SPORTAGE,3 SAT NAV ISG CR - 1685cc,Estate,Manual,Diesel,5,1685cc,2,White,87244 miles,,Margin,To Apply,,ADVANTAGE FINANCE
Lot 110,6/2/25 15:30,MINI COUNTRYMAN COOPER - 1499cc,January 2018 - LB67MSY,https://www.shorehamvehicleauctions.com/i_folder/LB67MSY/Web.pdf,,"https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/01-2472379-127599-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/02-2472381-127599-Rear%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/03-2472380-127599-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/03-2472382-127599-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472350-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472351-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472352-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472353-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472356-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472357-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472358-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/04-2472359-127599-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/05-2472348-127599-Speedo.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/08-2472355-127599-Parcel%20Shelf.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/09-2472349-127599-Image.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472360-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472361-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472362-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472363-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472364-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472365-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472366-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472367-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472368-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472369-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472370-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472371-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472372-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472373-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472374-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472375-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472376-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472377-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/10-2472378-127599-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/12-2472354-127599-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LB67MSY/13-2472347-127599-Centre%20Console.jpg",MINI,COUNTRYMAN,COOPER - 1499cc,Hatchback,Manual,Petrol,5,1499cc,1,Black,66435 miles,,Margin,V5 with auction,,VINES GROUP
Lot 113,6/2/25 15:30,MAZDA RX-8 231 PS - 2616cc,May 2006 - LV06ZWA,https://www.shorehamvehicleauctions.com/i_folder/LV06ZWA/Web.pdf,,"https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/01-2475768-127708-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/02-2475770-127708-Rear%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/03-2475769-127708-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/03-2475771-127708-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475736-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475737-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475738-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475741-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475742-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475743-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475744-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/04-2475745-127708-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/05-2475732-127708-Speedo.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/06-2475733-127708-Service%20Book.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/06-2475734-127708-Service%20Book.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/07-2475740-127708-Spare%20Wheel.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/09-2475735-127708-Image.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475746-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475747-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475748-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475749-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475750-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475751-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475752-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475753-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475754-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475755-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475756-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475757-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475758-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475759-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475760-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475761-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475762-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475763-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475764-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475765-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475766-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/10-2475767-127708-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/12-2475739-127708-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/LV06ZWA/13-2475731-127708-Centre%20Console.jpg",MAZDA,RX-8,231 PS - 2616cc,Coupe,Manual,Petrol,3,2616cc,2,Blue,90443 miles,02/10/25,Margin,V5 with auction,,PETER COOPER GROUP
Lot 114,6/2/25 15:30,HONDA JAZZ SR I-MMD CVT - 1498cc,June 2021 - SJ21FTN,https://www.shorehamvehicleauctions.com/i_folder/SJ21FTN/Web.pdf,,"https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/01-2471051-127559-Front%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/02-2471055-127559-Rear%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/03-2471053-127559-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/03-2471056-127559-Side%20Angle.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471037-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471038-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471039-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471041-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471042-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471043-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471044-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/04-2471052-127559-Interior.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/05-2471034-127559-Speedo.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/06-2471036-127559-Service%20Book.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/08-2471040-127559-Parcel%20Shelf.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/10-2471045-127559-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/10-2471046-127559-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/10-2471047-127559-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/10-2471048-127559-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/10-2471049-127559-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/10-2471050-127559-Damage.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/12-2471054-127559-Roof.jpg, https://www.shorehamvehicleauctions.com/image.ashx?width=70&path=/i_folder/SJ21FTN/13-2471035-127559-Centre%20Console.jpg",HONDA,JAZZ,SR I-MMD CVT - 1498cc,Hatchback,Automatic,Hybrid,5,1498cc,0,White,111110 miles,16/06/25,Margin,V5 with auction,,YEOMANS GROUP
