Title,Lot,Year,cc,Fuel,Mileage,Reg,CO2,Colour,MOT,Type,Gearbox,Former Keepers,Descriptions,Images,Buy_it_now,Check_link
2019 FORD TRANSIT CONNECT 200 LTD T,27D,2019,1499cc,Diesel,96k miles,ML19JJZ,135,White,Mar 25,Panel Van,Auto,0,['NO VAT. Company owned from new'],,,
2013 MINI COOPER SD BAYSWATER,28,2013,1995cc,Diesel,,RV63ZKC,114,Grey,Feb 26,3dr,Manual,2,['Three registered keepers with the last registered April 2016. Five service stamps and three service invoices with the last dated October 2024. V5 to be applied for'],,,
2018 SKODA SUPERB SE L EXECUTIVE TSI,29D,2018,1395cc,Petrol,77k miles,BD18YDB,123,White,Apr 25,Estate,Auto,1,['Two registered keepers with the last registered Dr keeper May 2018'],,,
2017 KIA CEED 3 ISG CRDI,30DK,2017,1582cc,Diesel,99k miles,CA66VRW,102,Blue,Feb 25,5dr,Manual,1,['Two registered keepers with the last registered February 2020'],,,
2016 FORD FIESTA ZETEC TURBO,31DK,2016,998cc,Petrol,56k miles,FX16PMO,99,Silver,Sep 25,5dr,Manual,2,"['Three registered keepers with the last registered October 2023. Eight service stamps with the last dated April 2024 at 49,529 miles', 'Two keys (untested). Slight rattle/whine when revved.']","/images/lots/2689/9309~2/0007_laekSN_lg.jpeg, /images/lots/2689/9309~2/0008_UukSaf_lg.jpeg, /images/lots/2689/9309~2/0009_PbbLsP_lg.jpeg, /images/lots/2689/9309~2/0010_RuIJtS_lg.jpeg, /images/lots/2689/9309~2/0011_HGYrJm_lg.jpeg, /images/lots/2689/9309~2/0012_eIgkFH_lg.jpeg, /images/lots/2689/9309~2/0013_zrmQIl_lg.jpeg, /images/lots/2689/9309~2/0014_rUstDe_lg.jpeg, /images/lots/2689/9309~2/0015_xfcEAN_lg.jpeg, /images/lots/2689/9309~2/0016_CBKJAV_lg.jpeg, /images/lots/2689/9309~2/0017_aZldZU_lg.jpeg, /images/lots/2689/9309~2/0018_fjbSac_lg.jpeg, /images/lots/2689/9309~2/0019_HnHwWt_lg.jpeg, /images/lots/2689/9309~2/0020_mjsDni_lg.jpeg, /images/lots/2689/9309~2/0021_WJWUqN_lg.jpeg, /images/lots/2689/9309~2/0022_ctBEqA_lg.jpeg, /images/lots/2689/9309~2/0023_OXLPAW_lg.jpeg, /images/lots/2689/9309~2/0024_bkJkJH_lg.jpeg, /images/lots/2689/9309~2/0025_DmMuNT_lg.jpeg, /images/lots/2689/9309~2/0026_vhuHeE_lg.jpeg, /images/lots/2689/9309~2/0027_WgPOuT_lg.jpeg, /images/lots/2689/9309~2/0028_SPQzvy_lg.jpeg, /images/lots/2689/9309~2/0029_ZgLXlf_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/99fe032d-d7b7-4692-80b9-83c41d8a8c10
2012 NISSAN QASHQAI N-TEC + DCI,32DK,2012,1461cc,Diesel,89k miles,FR12ECZ,137,Red,Mar 25,5dr,Manual,1,"['Two registered keepers with the last registered April 2015. Four services invoices with the last dated March 2024', 'Two keys (untested), sat nav (untested) and reverse camera (untested). Whistle/whine when revved.']","/images/lots/2689/9309~3/0007_MBFmaS_lg.jpeg, /images/lots/2689/9309~3/0008_hrvfIK_lg.jpeg, /images/lots/2689/9309~3/0009_vEsItv_lg.jpeg, /images/lots/2689/9309~3/0010_tsaqtT_lg.jpeg, /images/lots/2689/9309~3/0011_vCvvfd_lg.jpeg, /images/lots/2689/9309~3/0012_rlWBSM_lg.jpeg, /images/lots/2689/9309~3/0013_cHctxD_lg.jpeg, /images/lots/2689/9309~3/0014_vXAAxa_lg.jpeg, /images/lots/2689/9309~3/0015_gohzXY_lg.jpeg, /images/lots/2689/9309~3/0016_mzXeFS_lg.jpeg, /images/lots/2689/9309~3/0017_fcZRXc_lg.jpeg, /images/lots/2689/9309~3/0018_XXcJYn_lg.jpeg, /images/lots/2689/9309~3/0019_dkLwTC_lg.jpeg, /images/lots/2689/9309~3/0020_IEkGKH_lg.jpeg, /images/lots/2689/9309~3/0021_pPCtZO_lg.jpeg, /images/lots/2689/9309~3/0022_YJxwbb_lg.jpeg, /images/lots/2689/9309~3/0023_kwFoxA_lg.jpeg, /images/lots/2689/9309~3/0024_wcFypu_lg.jpeg, /images/lots/2689/9309~3/0025_WAQjgg_lg.jpeg, /images/lots/2689/9309~3/0026_rXGkcg_lg.jpeg, /images/lots/2689/9309~3/0027_BEvAee_lg.jpeg, /images/lots/2689/9309~3/0028_hnNpPF_lg.jpeg, /images/lots/2689/9309~3/0029_Cobmmv_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/aac1bf2a-9e1e-4617-9955-539e739c46bf
2015 PEUGEOT 3008 ACTIVE BLUE HDI S/S,33DK,2015,1560cc,Diesel,65k miles,KP65EMX,108,Grey,Sep 25,5dr,Manual,2,"['Three registered keepers with the last registered September 2018. Nine service stamps with the last dated September 2024 at 62,138 miles', 'Two keys (untested), parking sensors (untested).']","/images/lots/2689/9309~4/0007_bjEnZt_lg.jpeg, /images/lots/2689/9309~4/0008_EFjmza_lg.jpeg, /images/lots/2689/9309~4/0009_HNUDOf_lg.jpeg, /images/lots/2689/9309~4/0010_sekyuB_lg.jpeg, /images/lots/2689/9309~4/0011_Vzyerh_lg.jpeg, /images/lots/2689/9309~4/0012_oWJYRu_lg.jpeg, /images/lots/2689/9309~4/0013_EaPJuW_lg.jpeg, /images/lots/2689/9309~4/0014_xcYjdX_lg.jpeg, /images/lots/2689/9309~4/0015_kXHvsm_lg.jpeg, /images/lots/2689/9309~4/0016_adCcnh_lg.jpeg, /images/lots/2689/9309~4/0017_QqeHlh_lg.jpeg, /images/lots/2689/9309~4/0018_MxxpBx_lg.jpeg, /images/lots/2689/9309~4/0019_zomWBr_lg.jpeg, /images/lots/2689/9309~4/0020_tWaACI_lg.jpeg, /images/lots/2689/9309~4/0021_FBZuyR_lg.jpeg, /images/lots/2689/9309~4/0022_akPvrk_lg.jpeg, /images/lots/2689/9309~4/0023_wfQAGx_lg.jpeg, /images/lots/2689/9309~4/0024_hLHnFX_lg.jpeg, /images/lots/2689/9309~4/0025_dceNhx_lg.jpeg, /images/lots/2689/9309~4/0026_xXRBTl_lg.jpeg, /images/lots/2689/9309~4/0027_JBylfq_lg.jpeg, /images/lots/2689/9309~4/0028_MOZURk_lg.jpeg, /images/lots/2689/9309~4/0029_lMOiSJ_lg.jpeg, /images/lots/2689/9309~4/0030_boHtjY_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/9661c452-3dd6-46c1-a314-606a19a5eb33
2010 KIA CEED STRIKE,34DK,2010,1396cc,Petrol,71k miles,AD10ULZ,139,Blue,Sep 25,5dr,Manual,1,"['Two registered keepers with the last registered June 2017. Nine service stamps with the last dated April 2024', 'One key (untested). Steering knock when turning.']","/images/lots/2689/9309~5/0007_WyiGox_lg.jpeg, /images/lots/2689/9309~5/0008_cETFCj_lg.jpeg, /images/lots/2689/9309~5/0009_tcEJWE_lg.jpeg, /images/lots/2689/9309~5/0010_twSzjk_lg.jpeg, /images/lots/2689/9309~5/0011_BXXfRB_lg.jpeg, /images/lots/2689/9309~5/0012_lizyLl_lg.jpeg, /images/lots/2689/9309~5/0013_GIAwTc_lg.jpeg, /images/lots/2689/9309~5/0014_YgtMkn_lg.jpeg, /images/lots/2689/9309~5/0015_EKOzbg_lg.jpeg, /images/lots/2689/9309~5/0016_WIKyBG_lg.jpeg, /images/lots/2689/9309~5/0017_yraCgx_lg.jpeg, /images/lots/2689/9309~5/0018_CMRvTL_lg.jpeg, /images/lots/2689/9309~5/0019_QjtONu_lg.jpeg, /images/lots/2689/9309~5/0020_YVtZFn_lg.jpeg, /images/lots/2689/9309~5/0021_CyQpGz_lg.jpeg, /images/lots/2689/9309~5/0022_qGYgqU_lg.jpeg, /images/lots/2689/9309~5/0023_JhlCOS_lg.jpeg, /images/lots/2689/9309~5/0024_SzDaEh_lg.jpeg, /images/lots/2689/9309~5/0025_BchQCT_lg.jpeg, /images/lots/2689/9309~5/0026_wQGhpD_lg.jpeg, /images/lots/2689/9309~5/0027_YHdIUK_lg.jpeg, /images/lots/2689/9309~5/0028_oXJXNt_lg.jpeg, /images/lots/2689/9309~5/0029_ACohtW_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/9dbdeb51-6ce9-4ab1-8305-aab198773c6f
2018 NISSAN JUKE BOSE PERSONAL ED DIG,35DK,2018,1197cc,Petrol,126k miles,DT18HJA,128,Blue,Jul 25,5dr,Manual,1,"['Two registered keepers with the last registered February 2020. Six service stamps with the last dated May 2024 at 108,760 miles', 'Two keys (untested), sat nav (untested), reverse camera (appears blurry). Rattle in idle and when revved. Tyre pressure light displays on the dash.']","/images/lots/2689/9311~1/0007_PrXWmY_lg.jpeg, /images/lots/2689/9311~1/0008_caFaOX_lg.jpeg, /images/lots/2689/9311~1/0009_Mbnzbe_lg.jpeg, /images/lots/2689/9311~1/0010_YyDQHE_lg.jpeg, /images/lots/2689/9311~1/0011_vKAzTR_lg.jpeg, /images/lots/2689/9311~1/0012_NdovBB_lg.jpeg, /images/lots/2689/9311~1/0013_eWgXKP_lg.jpeg, /images/lots/2689/9311~1/0014_AHZqSL_lg.jpeg, /images/lots/2689/9311~1/0015_uyxfkj_lg.jpeg, /images/lots/2689/9311~1/0016_idPFdZ_lg.jpeg, /images/lots/2689/9311~1/0017_wfscDV_lg.jpeg, /images/lots/2689/9311~1/0018_JgpiFl_lg.jpeg, /images/lots/2689/9311~1/0019_lpEvoM_lg.jpeg, /images/lots/2689/9311~1/0020_kPPRpW_lg.jpeg, /images/lots/2689/9311~1/0021_xrxdbF_lg.jpeg, /images/lots/2689/9311~1/0022_IxOmdJ_lg.jpeg, /images/lots/2689/9311~1/0023_oarEnj_lg.jpeg, /images/lots/2689/9311~1/0024_rpkwLa_lg.jpeg, /images/lots/2689/9311~1/0025_IyAyqc_lg.jpeg, /images/lots/2689/9311~1/0026_KRgEoO_lg.jpeg, /images/lots/2689/9311~1/0027_bYzaag_lg.jpeg, /images/lots/2689/9311~1/0028_PNGKui_lg.jpeg, /images/lots/2689/9311~1/0029_HbfeDK_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/785dbbf4-1681-4e5b-bc8f-b44044dd1da4
2017 VAUXHALL ASTRA SRI NAV TURBO,36DK,2017,1399cc,Petrol,21k miles,DU66VAK,128,Black,Jun 25,5dr,Manual,3,"['Six service stamps with the last dated January 2023 at 18,822 miles', 'One key (untested), sat nav and parking sensors (untested).']","/images/lots/2689/9311~2/0007_RwADJC_lg.jpeg, /images/lots/2689/9311~2/0008_VHKRUO_lg.jpeg, /images/lots/2689/9311~2/0009_cMFhnI_lg.jpeg, /images/lots/2689/9311~2/0010_TgXgKz_lg.jpeg, /images/lots/2689/9311~2/0011_DFofZB_lg.jpeg, /images/lots/2689/9311~2/0012_nxVozJ_lg.jpeg, /images/lots/2689/9311~2/0013_SLytNC_lg.jpeg, /images/lots/2689/9311~2/0014_xXditz_lg.jpeg, /images/lots/2689/9311~2/0015_ZqFCIw_lg.jpeg, /images/lots/2689/9311~2/0016_kZUuqB_lg.jpeg, /images/lots/2689/9311~2/0017_KkbyCk_lg.jpeg, /images/lots/2689/9311~2/0018_BxvDcQ_lg.jpeg, /images/lots/2689/9311~2/0019_wuzFoR_lg.jpeg, /images/lots/2689/9311~2/0020_YQtaDt_lg.jpeg, /images/lots/2689/9311~2/0021_uBWjmV_lg.jpeg, /images/lots/2689/9311~2/0022_SoBpcA_lg.jpeg, /images/lots/2689/9311~2/0023_BRqAEx_lg.jpeg, /images/lots/2689/9311~2/0024_RNPiQg_lg.jpeg, /images/lots/2689/9311~2/0025_ynBCfD_lg.jpeg, /images/lots/2689/9311~2/0026_OjpjEE_lg.jpeg, /images/lots/2689/9311~2/0027_UbTrFM_lg.jpeg, /images/lots/2689/9311~2/0028_nKBllh_lg.jpeg, /images/lots/2689/9311~2/0029_BQSZBg_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/2fd7c0fe-4e43-4107-b93b-5eb20d35da36
2017 VAUXHALL ASTRA SRI NAV TURBO,36DK,2017,1399cc,Petrol,21k miles,DU66VAK,128,Black,Jun 25,5dr,Manual,3,"['Six service stamps with the last dated January 2023 at 18,822 miles', 'One key (untested), sat nav and parking sensors (untested).']","/images/lots/2689/9311~2/0007_RwADJC_lg.jpeg, /images/lots/2689/9311~2/0008_VHKRUO_lg.jpeg, /images/lots/2689/9311~2/0009_cMFhnI_lg.jpeg, /images/lots/2689/9311~2/0010_TgXgKz_lg.jpeg, /images/lots/2689/9311~2/0011_DFofZB_lg.jpeg, /images/lots/2689/9311~2/0012_nxVozJ_lg.jpeg, /images/lots/2689/9311~2/0013_SLytNC_lg.jpeg, /images/lots/2689/9311~2/0014_xXditz_lg.jpeg, /images/lots/2689/9311~2/0015_ZqFCIw_lg.jpeg, /images/lots/2689/9311~2/0016_kZUuqB_lg.jpeg, /images/lots/2689/9311~2/0017_KkbyCk_lg.jpeg, /images/lots/2689/9311~2/0018_BxvDcQ_lg.jpeg, /images/lots/2689/9311~2/0019_wuzFoR_lg.jpeg, /images/lots/2689/9311~2/0020_YQtaDt_lg.jpeg, /images/lots/2689/9311~2/0021_uBWjmV_lg.jpeg, /images/lots/2689/9311~2/0022_SoBpcA_lg.jpeg, /images/lots/2689/9311~2/0023_BRqAEx_lg.jpeg, /images/lots/2689/9311~2/0024_RNPiQg_lg.jpeg, /images/lots/2689/9311~2/0025_ynBCfD_lg.jpeg, /images/lots/2689/9311~2/0026_OjpjEE_lg.jpeg, /images/lots/2689/9311~2/0027_UbTrFM_lg.jpeg, /images/lots/2689/9311~2/0028_nKBllh_lg.jpeg, /images/lots/2689/9311~2/0029_BQSZBg_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/2fd7c0fe-4e43-4107-b93b-5eb20d35da36
2014 VOLVO V40 SE D2 AUTO,37DK,2014,1560cc,Diesel,92k miles,KS64OBA,102,Grey,Dec 25,5dr,Auto,2,"['Three registered keepers with the last registered November 2015. Nine service stamps with the last dated June 2024 at 87,544 miles', 'Two keys (untested), parking sensors (untested). Little rattle when revved.']","/images/lots/2689/9311~3/0007_cqZTDi_lg.jpeg, /images/lots/2689/9311~3/0008_JqPfVt_lg.jpeg, /images/lots/2689/9311~3/0009_yOifVV_lg.jpeg, /images/lots/2689/9311~3/0010_okHNGd_lg.jpeg, /images/lots/2689/9311~3/0011_yjzLaw_lg.jpeg, /images/lots/2689/9311~3/0012_someFj_lg.jpeg, /images/lots/2689/9311~3/0013_JBhOCJ_lg.jpeg, /images/lots/2689/9311~3/0014_WLVLpC_lg.jpeg, /images/lots/2689/9311~3/0015_xpEmLq_lg.jpeg, /images/lots/2689/9311~3/0016_AwjXQa_lg.jpeg, /images/lots/2689/9311~3/0017_hBITMy_lg.jpeg, /images/lots/2689/9311~3/0018_FWgOco_lg.jpeg, /images/lots/2689/9311~3/0019_PRJBtZ_lg.jpeg, /images/lots/2689/9311~3/0020_IFpPJT_lg.jpeg, /images/lots/2689/9311~3/0021_UKSEoo_lg.jpeg, /images/lots/2689/9311~3/0022_RgyVlR_lg.jpeg, /images/lots/2689/9311~3/0023_LWrySh_lg.jpeg, /images/lots/2689/9311~3/0024_GOGjEB_lg.jpeg, /images/lots/2689/9311~3/0025_Ypiqtc_lg.jpeg, /images/lots/2689/9311~3/0026_NdAqoz_lg.jpeg, /images/lots/2689/9311~3/0027_zPeKlk_lg.jpeg, /images/lots/2689/9311~3/0028_gEsQIz_lg.jpeg, /images/lots/2689/9311~3/0029_EhvuaO_lg.jpeg, /images/lots/2689/9311~3/0030_eZAFnH_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/c90095c7-4e6a-4cff-a94f-a8514a061796
2011 MAZDA 2 TAMURA,38DK,2011,1349cc,Petrol,90k miles,NA61BPE,119,Silver,Aug 25,5dr,Manual,3,['Two keys (untested). Rattle when revved.'],"/images/lots/2689/9311~4/0007_uKigzY_lg.jpeg, /images/lots/2689/9311~4/0008_RqKBki_lg.jpeg, /images/lots/2689/9311~4/0009_blplFA_lg.jpeg, /images/lots/2689/9311~4/0010_RENSDd_lg.jpeg, /images/lots/2689/9311~4/0011_ZDgFJA_lg.jpeg, /images/lots/2689/9311~4/0012_VFcbgd_lg.jpeg, /images/lots/2689/9311~4/0013_RqiEOD_lg.jpeg, /images/lots/2689/9311~4/0014_GsRzJu_lg.jpeg, /images/lots/2689/9311~4/0015_GzaYja_lg.jpeg, /images/lots/2689/9311~4/0016_fVMRMn_lg.jpeg, /images/lots/2689/9311~4/0017_rLgTdK_lg.jpeg, /images/lots/2689/9311~4/0018_zGsIuV_lg.jpeg, /images/lots/2689/9311~4/0019_EcHcVs_lg.jpeg, /images/lots/2689/9311~4/0020_PAuyxx_lg.jpeg, /images/lots/2689/9311~4/0021_IHRFtn_lg.jpeg, /images/lots/2689/9311~4/0022_JXaRMH_lg.jpeg, /images/lots/2689/9311~4/0023_ebZUiz_lg.jpeg, /images/lots/2689/9311~4/0024_YxzmjD_lg.jpeg, /images/lots/2689/9311~4/0025_LgzkbG_lg.jpeg, /images/lots/2689/9311~4/0026_lFwmca_lg.jpeg, /images/lots/2689/9311~4/0027_rCVfoq_lg.jpeg, /images/lots/2689/9311~4/0028_VeCmeV_lg.jpeg, /images/lots/2689/9311~4/0029_wWtxRu_lg.jpeg, /images/lots/2689/9311~4/0030_LjeSAK_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/d978bfe9-08f2-4590-8d33-0e1cf623a980
2013 KIA PICANTO CITY,39DK,2013,998cc,Petrol,117k miles,FG63JUA,99,Silver,Nov 25,3dr,Manual,1,"['Two registered keepers with the last registered November 2016. Nine service stamps and one service invoice with the last dated November 2024 at 116,476 miles', 'Two keys (untested). Judders in idle.']","/images/lots/2689/9312~1/0007_jDWVeJ_lg.jpeg, /images/lots/2689/9312~1/0008_JCGNHT_lg.jpeg, /images/lots/2689/9312~1/0009_ytQmKT_lg.jpeg, /images/lots/2689/9312~1/0010_moPobb_lg.jpeg, /images/lots/2689/9312~1/0011_mwITKO_lg.jpeg, /images/lots/2689/9312~1/0012_dHVnqR_lg.jpeg, /images/lots/2689/9312~1/0013_WCWsXs_lg.jpeg, /images/lots/2689/9312~1/0014_DsTvPm_lg.jpeg, /images/lots/2689/9312~1/0015_KShFHs_lg.jpeg, /images/lots/2689/9312~1/0016_hfDPny_lg.jpeg, /images/lots/2689/9312~1/0017_OVzQds_lg.jpeg, /images/lots/2689/9312~1/0018_wjTzcr_lg.jpeg, /images/lots/2689/9312~1/0019_DnqqJQ_lg.jpeg, /images/lots/2689/9312~1/0020_QnuaAU_lg.jpeg, /images/lots/2689/9312~1/0021_VWPSKF_lg.jpeg, /images/lots/2689/9312~1/0022_dLjMhL_lg.jpeg, /images/lots/2689/9312~1/0023_kKGtQs_lg.jpeg, /images/lots/2689/9312~1/0024_AjKYGn_lg.jpeg, /images/lots/2689/9312~1/0025_qqhNlg_lg.jpeg, /images/lots/2689/9312~1/0026_NYzYAw_lg.jpeg, /images/lots/2689/9312~1/0027_lDHsNu_lg.jpeg, /images/lots/2689/9312~1/0028_FuQYkW_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/dc92bc42-6336-43a3-89ce-625b61feb392
2013 VOLKSWAGEN GOLF SE BLUEMOTION TECH T,40DK,2013,1598cc,Diesel,101k miles,YB13XDY,99,White,Mar 25,5dr,Manual,1,"['Two registered keepers with the last registered March 2016. Seven service stamps with the last dated October 2019 at 62,976 miles', 'Two keys (untested), parking sensors (untested). Error start-stop displays on the dash. Acc + front assist not available.']","/images/lots/2689/9312~2/0007_hlFsfN_lg.jpeg, /images/lots/2689/9312~2/0008_CfCuKs_lg.jpeg, /images/lots/2689/9312~2/0009_ACzQYK_lg.jpeg, /images/lots/2689/9312~2/0010_RYsRpm_lg.jpeg, /images/lots/2689/9312~2/0011_ePtHSE_lg.jpeg, /images/lots/2689/9312~2/0012_clryZH_lg.jpeg, /images/lots/2689/9312~2/0013_nGMgVD_lg.jpeg, /images/lots/2689/9312~2/0014_qASQpx_lg.jpeg, /images/lots/2689/9312~2/0015_aFeHAF_lg.jpeg, /images/lots/2689/9312~2/0016_ppSEhx_lg.jpeg, /images/lots/2689/9312~2/0017_BouuBm_lg.jpeg, /images/lots/2689/9312~2/0018_RwiGlv_lg.jpeg, /images/lots/2689/9312~2/0019_ODCXQe_lg.jpeg, /images/lots/2689/9312~2/0020_uPGyem_lg.jpeg, /images/lots/2689/9312~2/0021_uesQLc_lg.jpeg, /images/lots/2689/9312~2/0022_xHvdoq_lg.jpeg, /images/lots/2689/9312~2/0023_yrkTpa_lg.jpeg, /images/lots/2689/9312~2/0024_tOXDBG_lg.jpeg, /images/lots/2689/9312~2/0025_lNbnhv_lg.jpeg, /images/lots/2689/9312~2/0026_sJRyLd_lg.jpeg, /images/lots/2689/9312~2/0027_dKZevr_lg.jpeg, /images/lots/2689/9312~2/0028_aMsbRB_lg.jpeg, /images/lots/2689/9312~2/0029_tKhXui_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/d27a53ce-6f2b-4154-bc82-50a2d2c14c1f
2010 FORD KA EDGE,41DK,2010,1242cc,Petrol,64k miles,NX10OYZ,119,Blue,Nov 25,3dr,Manual,,"['Insurance loss category S recorded February 2018. Selection of invioces', 'Two keys (untested).']","/images/lots/2689/9312~3/0007_ZzLbIv_lg.jpeg, /images/lots/2689/9312~3/0008_ieDefH_lg.jpeg, /images/lots/2689/9312~3/0009_jukAtA_lg.jpeg, /images/lots/2689/9312~3/0010_YoRBGB_lg.jpeg, /images/lots/2689/9312~3/0011_BFqMCV_lg.jpeg, /images/lots/2689/9312~3/0012_VmGQvm_lg.jpeg, /images/lots/2689/9312~3/0013_qhnqEz_lg.jpeg, /images/lots/2689/9312~3/0014_NVOsYC_lg.jpeg, /images/lots/2689/9312~3/0015_ymEVXo_lg.jpeg, /images/lots/2689/9312~3/0016_vaJiqv_lg.jpeg, /images/lots/2689/9312~3/0017_jyBxUD_lg.jpeg, /images/lots/2689/9312~3/0018_MwuYFi_lg.jpeg, /images/lots/2689/9312~3/0019_aFNgLl_lg.jpeg, /images/lots/2689/9312~3/0020_KnOWgK_lg.jpeg, /images/lots/2689/9312~3/0021_FqCZnd_lg.jpeg, /images/lots/2689/9312~3/0022_uNBakE_lg.jpeg, /images/lots/2689/9312~3/0023_fxNCEq_lg.jpeg, /images/lots/2689/9312~3/0024_sjgkWR_lg.jpeg, /images/lots/2689/9312~3/0025_zltAhB_lg.jpeg, /images/lots/2689/9312~3/0026_fVyhYQ_lg.jpeg, /images/lots/2689/9312~3/0027_ECprfe_lg.jpeg, /images/lots/2689/9312~3/0028_kfaLvf_lg.jpeg, /images/lots/2689/9312~3/0029_UEeKIc_lg.jpeg, /images/lots/2689/9312~3/0030_WNgtoR_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/a7252b43-1113-4bf7-aa81-434f0337743b
2010 VAUXHALL CORSA SE,42DK,2010,1398cc,Petrol,93k miles,SV60DVN,129,Black,Apr 25,5dr,Manual,4,['Last registered keeper since July 2019'],"/images/lots/2689/9312~4/0007_NltyhI_lg.jpeg, /images/lots/2689/9312~4/0008_uUOcVR_lg.jpeg, /images/lots/2689/9312~4/0009_GrbfIz_lg.jpeg, /images/lots/2689/9312~4/0010_IyBuqN_lg.jpeg, /images/lots/2689/9312~4/0011_GRbdzf_lg.jpeg, /images/lots/2689/9312~4/0012_NjFJSX_lg.jpeg, /images/lots/2689/9312~4/0013_iCEQpK_lg.jpeg, /images/lots/2689/9312~4/0014_siYHme_lg.jpeg, /images/lots/2689/9312~4/0015_gylBcF_lg.jpeg, /images/lots/2689/9312~4/0016_bxfzIo_lg.jpeg, /images/lots/2689/9312~4/0017_saStdS_lg.jpeg, /images/lots/2689/9312~4/0018_QqkRGk_lg.jpeg, /images/lots/2689/9312~4/0019_cKnZgM_lg.jpeg, /images/lots/2689/9312~4/0020_bsDjRi_lg.jpeg, /images/lots/2689/9312~4/0021_qlYRBx_lg.jpeg, /images/lots/2689/9312~4/0022_sKiRAu_lg.jpeg, /images/lots/2689/9312~4/0023_qmrLdM_lg.jpeg, /images/lots/2689/9312~4/0024_DFDcZG_lg.jpeg, /images/lots/2689/9312~4/0025_mQLpis_lg.jpeg, /images/lots/2689/9312~4/0026_DUgaXh_lg.jpeg",,
2021 MG ZS TROPHY EV,43DK,2021,-,Electric,19k miles,FV71PDX,,Red,Nov 25,5dr,Auto,0,"['One registered keeper from new. Three service invoices with the last dated November 2024 at 18,666 miles', 'Two keys (untested), sat nav and reverse camera (untested).']","/images/lots/2689/9312~5/0007_KZNvJx_lg.jpeg, /images/lots/2689/9312~5/0008_dHHKOc_lg.jpeg, /images/lots/2689/9312~5/0009_oAwuYt_lg.jpeg, /images/lots/2689/9312~5/0010_Gltjhv_lg.jpeg, /images/lots/2689/9312~5/0011_UTDeOy_lg.jpeg, /images/lots/2689/9312~5/0012_rRYKiQ_lg.jpeg, /images/lots/2689/9312~5/0013_Gfuies_lg.jpeg, /images/lots/2689/9312~5/0014_TipNOO_lg.jpeg, /images/lots/2689/9312~5/0015_YIPgKs_lg.jpeg, /images/lots/2689/9312~5/0016_HouhLp_lg.jpeg, /images/lots/2689/9312~5/0017_nUgABq_lg.jpeg, /images/lots/2689/9312~5/0018_yVsivX_lg.jpeg, /images/lots/2689/9312~5/0019_TvSedO_lg.jpeg, /images/lots/2689/9312~5/0020_QlKfGv_lg.jpeg, /images/lots/2689/9312~5/0021_vrLtCI_lg.jpeg, /images/lots/2689/9312~5/0022_qXKwpU_lg.jpeg, /images/lots/2689/9312~5/0023_HutJfI_lg.jpeg, /images/lots/2689/9312~5/0024_znoecX_lg.jpeg, /images/lots/2689/9312~5/0025_BkIWkr_lg.jpeg, /images/lots/2689/9312~5/0026_bHDpxJ_lg.jpeg, /images/lots/2689/9312~5/0027_drokMl_lg.jpeg, /images/lots/2689/9312~5/0028_YWoNgG_lg.jpeg, /images/lots/2689/9312~5/0029_LxBNHA_lg.jpeg, /images/lots/2689/9312~5/0030_nEgiDF_lg.jpeg",,https://angliacarauctions.co.uk/checksheet/8b9b815f-fc31-4783-8c9b-f42ae6509ff6
